Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L2 - Lyapunov,1.1843,0,0,0,-0.18151125063204,0,3.4341,564.4278,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.1446213264263,1.10109265844054,1.10109265844054
L2 - Lyapunov,1.1924,0,0,0,-0.249876376649046,0,3.5128,435.7722,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.11837811652869,1.07829149150126,1.07829149150126
L2 - Lyapunov,1.2005,0,0,0,-0.323592017485699,0,3.6841,288.459,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.08000591824888,1.04220675647656,1.04220675647656
L2 - Lyapunov,1.2086,0,0,0,-0.380163144910548,0,3.9421,189.9619,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.04470378842963,1.00481300708426,1.00481300708426
L2 - Lyapunov,1.2167,0,0,0,-0.416286471125721,0,4.2083,140.5503,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.02101403608722,0.976660352222706,0.976660352222706
L2 - Lyapunov,1.22,0,0,0,-0.427563340018844,0,4.3105,127.885,L2-Axials,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.01372373224008,0.96742713712188,0.96742713712188
L2 - Lyapunov,1.2248,0,0,0,-0.441819758934492,0,4.4584,113.2251,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,3.00472174304648,0.955454746279921,0.955454746279921
L2 - Lyapunov,1.2329,0,0,0,-0.462038749088197,0,4.6923,96.0231,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.9925727976307,0.938469115106154,0.938469115106154
L2 - Lyapunov,1.241,0,0,0,-0.479302415891765,0,4.9123,84.191,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.98293044743185,0.924189292193241,0.924189292193241
L2 - Lyapunov,1.2491,0,0,0,-0.494776694183357,0,5.1204,75.5738,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.97492564901528,0.911758360346334,0.911758360346334
L2 - Lyapunov,1.2572,0,0,0,-0.509099676555308,0,5.318,69.0655,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.96805496796936,0.900663250073131,0.900663250073131
L2 - Lyapunov,1.2653,0,0,0,-0.52264972025346,0,5.5062,64.04,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.962003854583,0.890565844914342,0.890565844914342
L2 - Lyapunov,1.2734,0,0,0,-0.535664338530374,0,5.6856,60.1148,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.95656445530066,0.881252535238438,0.881252535238438
L2 - Lyapunov,1.2815,0,0,0,-0.548300105118276,0,5.8568,57.0416,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.95159220425121,0.872562786233213,0.872562786233213
L2 - Lyapunov,1.2896,0,0,0,-0.560663646732705,0,6.0203,54.6507,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.94698295598757,0.864379058766313,0.864379058766313
L2 - Lyapunov,1.2977,0,0,0,-0.572829527751467,0,6.1765,52.8217,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.94265937938502,0.856613820763364,0.856613820763364
L2 - Lyapunov,1.3058,0,0,0,-0.584851018716476,0,6.3258,51.4659,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.93856255138266,0.849198123879847,0.849198123879847
L2 - Lyapunov,1.3139,0,0,0,-0.5967667516088,0,6.4685,50.516,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.9346466710993,0.842078337809814,0.842078337809814
L2 - Lyapunov,1.322,0,0,0,-0.608605030036566,0,6.6049,49.9203,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Lyapunov,,2.93087556699696,0.835215211699439,0.835215211699439
L3 - Lyapunov,-1.056,0,0,0,0.101717564591228,0,6.2185,1.6753,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,3.00938427036942,0.966252184483027,0.966252184483027
L3 - Lyapunov,-1.0884,0,0,0,0.165234519372802,0,6.2186,1.6729,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,3.00474228463125,0.933814850512342,0.933814850512342
L3 - Lyapunov,-1.1208,0,0,0,0.227935883352582,0,6.2189,1.6694,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.99783957864847,0.901354598878496,0.901354598878496
L3 - Lyapunov,-1.1532,0,0,0,0.2899,0,6.2192,1.6647,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.98865360925674,0.868872750855575,0.868872750855575
L3 - Lyapunov,-1.1856,0,0,0,0.3512,0,6.2196,1.6589,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.97715450255809,0.836369236806661,0.836369236806661
